Huyện A Lưới, Thành phố Huế
Xã Tân Hưng, Huyện Tân Châu, Tỉnh Tây Ninh
Xã Tân Hưng, Huyện Vĩnh Bảo, Thành phố Hải Phòng
Xã Tân Hưng, Huyện Đồng Phú, Tỉnh Bình Phước
Xã Tân Hưng, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu
Xã Tân Hưng, Thành phố Hưng Yên, Tỉnh Hưng Yên
Xã Tân Hương, Huyện Bắc Sơn, Tỉnh Lạng Sơn
Xã Tân Hương, Huyện Châu Thành, Tỉnh Tiền Giang
Xã Tân Hương, Huyện Ninh Giang, Tỉnh Hải Dương
Xã Tân Hương, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Tân Hương, Huyện Yên Bình, Tỉnh Yên Bái
Xã Tân Hương, Huyện Đức Thọ, Tỉnh Hà Tĩnh
Xã Tân Hạnh, Huyện Long Hồ, Tỉnh Vĩnh Long
Xã Tân Hải, Huyện Ninh Hải, Tỉnh Ninh Thuận
Xã Tân Hải, Huyện Phú Tân, Tỉnh Cà Mau
Xã Tân Hải, Thị xã La Gi, Tỉnh Bình Thuận
Xã Tân Hải, Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu
Xã Tân Học, Huyện Thái Thụy, Tỉnh Thái Bình
Xã Tân Hồng, Huyện Bình Giang, Tỉnh Hải Dương
Xã Tân Hộ Cơ, Huyện Tân Hồng, Tỉnh Đồng Tháp
Xã Tân Hội Trung, Huyện Cao Lãnh, Tỉnh Đồng Tháp
Xã Tân Hội Đông, Huyện Châu Thành, Tỉnh Tiền Giang
Xã Tân Hội, Huyện Mỏ Cày Nam, Tỉnh Bến Tre
Xã Tân Hội, Huyện Tân Châu, Tỉnh Tây Ninh
Xã Tân Hội, Huyện Tân Hiệp, Tỉnh Kiên Giang
Xã Tân Hội, Huyện Đan Phượng, Thành phố Hà Nội
Xã Tân Hội, Huyện Đức Trọng, Tỉnh Lâm Đồng
Xã Tân Hội, Thành phố Hồng Ngự, Tỉnh Đồng Tháp
Xã Tân Hội, Thị xã Cai Lậy, Tỉnh Tiền Giang
Xã Tân Hợp, Huyện Hướng Hóa, Tỉnh Quảng Trị
Xã Tân Hợp, Huyện Mộc Châu, Tỉnh Sơn La
Xã Tân Hợp, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Tân Hợp, Huyện Văn Yên, Tỉnh Yên Bái
Xã Tân Khang, Huyện Nông Cống, Tỉnh Thanh Hóa
Xã Tân Khánh Hòa, Huyện Giang Thành, Tỉnh Kiên Giang
Xã Tân Khánh Trung, Huyện Lấp Vò, Tỉnh Đồng Tháp
Xã Tân Khánh Đông, Thành phố Sa Đéc, Tỉnh Đồng Tháp
Xã Tân Khánh, Huyện Phú Bình, Tỉnh Thái Nguyên
Xã Tân Kim, Huyện Phú Bình, Tỉnh Thái Nguyên
Xã Tân Kiên, Huyện Bình Chánh, Thành phố Hồ Chí Minh
Xã Tân Kiều, Huyện Tháp Mười, Tỉnh Đồng Tháp
Xã Tân Kỳ, Huyện Tứ Kỳ, Tỉnh Hải Dương
Xã Tân Lang, Huyện Phù Yên, Tỉnh Sơn La
Xã Tân Linh, Huyện Đại Từ, Tỉnh Thái Nguyên
Xã Tân Liên, Huyện Cao Lộc, Tỉnh Lạng Sơn
Xã Tân Liên, Huyện Hướng Hóa, Tỉnh Quảng Trị
Xã Tân Liên, Huyện Vĩnh Bảo, Thành phố Hải Phòng
Xã Tân Long Hội, Huyện Mang Thít, Tỉnh Vĩnh Long
Xã Tân Long, Huyện Hướng Hóa, Tỉnh Quảng Trị
Xã Tân Long, Huyện Mang Thít, Tỉnh Vĩnh Long
Xã Tân Long, Huyện Phú Giáo, Tỉnh Bình Dương
Xã Tân Long, Huyện Phụng Hiệp, Tỉnh Hậu Giang
Xã Tân Long, Huyện Thanh Bình, Tỉnh Đồng Tháp
Xã Tân Long, Huyện Thủ Thừa, Tỉnh Long An
Xã Tân Long, Huyện Yên Sơn, Tỉnh Tuyên Quang
Xã Tân Long, Huyện Đồng Hỷ, Tỉnh Thái Nguyên
Xã Tân Long, Thị xã Ngã Năm, Tỉnh Sóc Trăng
Xã Tân Lâm Hương, Thành phố Hà Tĩnh, Tỉnh Hà Tĩnh
Xã Tân Lâm, Huyện Di Linh, Tỉnh Lâm Đồng
Xã Tân Lâm, Huyện Xuyên Mộc, Tỉnh Bà Rịa - Vũng Tàu
Xã Tân Lân, Huyện Cần Đước, Tỉnh Long An
Xã Tân Lãng, Huyện Lương Tài, Tỉnh Bắc Ninh
Xã Tân Lý Đông, Huyện Châu Thành, Tỉnh Tiền Giang
Xã Tân Lĩnh, Huyện Lục Yên, Tỉnh Yên Bái
Xã Tân Lược, Huyện Bình Tân, Tỉnh Vĩnh Long
Xã Tân Lạc, Huyện Bảo Lâm, Tỉnh Lâm Đồng
Xã Tân Lập 1, Huyện Tân Phước, Tỉnh Tiền Giang
Xã Tân Lập 2, Huyện Tân Phước, Tỉnh Tiền Giang
Xã Tân Lập, Huyện Bắc Quang, Tỉnh Hà Giang
Xã Tân Lập, Huyện Bắc Sơn, Tỉnh Lạng Sơn
Xã Tân Lập, Huyện Bắc Tân Uyên, Tỉnh Bình Dương
Xã Tân Lập, Huyện Chợ Đồn, Tỉnh Bắc Kạn
Xã Tân Lập, Huyện Hàm Thuận Nam, Tỉnh Bình Thuận
Xã Tân Lập, Huyện Hướng Hóa, Tỉnh Quảng Trị
Xã Tân Lập, Huyện Kon Rẫy, Tỉnh Kon Tum
Xã Tân Lập, Huyện Krông Búk, Tỉnh Đắk Lắk
Xã Tân Lập, Huyện Lạc Sơn, Tỉnh Hoà Bình
Xã Tân Lập, Huyện Lục Ngạn, Tỉnh Bắc Giang
Xã Tân Lập, Huyện Lục Yên, Tỉnh Yên Bái
Xã Tân Lập, Huyện Mộc Châu, Tỉnh Sơn La
Xã Tân Lập, Huyện Mộc Hóa, Tỉnh Long An
Xã Tân Lập, Huyện Sông Lô, Tỉnh Vĩnh Phúc
Xã Tân Lập, Huyện Thanh Sơn, Tỉnh Phú Thọ
Xã Tân Lập, Huyện Tân Biên, Tỉnh Tây Ninh
Xã Tân Lập, Huyện Tân Thạnh, Tỉnh Long An
Xã Tân Lập, Huyện Vũ Thư, Tỉnh Thái Bình
Xã Tân Lập, Huyện Yên Mỹ, Tỉnh Hưng Yên
Xã Tân Lập, Huyện Đan Phượng, Thành phố Hà Nội
Xã Tân Lập, Huyện Đầm Hà, Tỉnh Quảng Ninh
Xã Tân Lập, Huyện Đồng Phú, Tỉnh Bình Phước
Xã Tân Lập, Thị xã Tịnh Biên, Tỉnh An Giang
Xã Tân Lễ, Huyện Hưng Hà, Tỉnh Thái Bình
Xã Tân Lộc Bắc, Huyện Thới Bình, Tỉnh Cà Mau
Xã Tân Lộc Đông, Huyện Thới Bình, Tỉnh Cà Mau
Xã Tân Lộc, Huyện Tam Bình, Tỉnh Vĩnh Long
Xã Tân Lộc, Huyện Thạch Hà, Tỉnh Hà Tĩnh
Xã Tân Lộc, Huyện Thới Bình, Tỉnh Cà Mau
Xã Tân Lợi Thạnh, Huyện Giồng Trôm, Tỉnh Bến Tre
Xã Tân Lợi, Huyện Hớn Quản, Tỉnh Bình Phước
Xã Tân Lợi, Huyện Đồng Phú, Tỉnh Bình Phước
Xã Tân Lợi, Thị xã Tịnh Biên, Tỉnh An Giang
Xã Tân Minh, Huyện Sóc Sơn, Thành phố Hà Nội
Xã Tân Minh, Huyện Thanh Sơn, Tỉnh Phú Thọ
Xã Tân Minh, Huyện Thường Tín, Thành phố Hà Nội
Xã Tân Minh, Huyện Tiên Lãng, Thành phố Hải Phòng
Xã Tân Minh, Huyện Tràng Định, Tỉnh Lạng Sơn
Xã Tân Minh, Huyện Yên Mỹ, Tỉnh Hưng Yên
Xã Tân Minh, Huyện Ý Yên, Tỉnh Nam Định
Xã Tân Minh, Huyện Đà Bắc, Tỉnh Hoà Bình
Xã Tân Mộc, Huyện Lục Ngạn, Tỉnh Bắc Giang
Xã Tân Mỹ Chánh, Thành phố Mỹ Tho, Tỉnh Tiền Giang
Xã Tân Mỹ Hà, Huyện Hương Sơn, Tỉnh Hà Tĩnh
Xã Tân Mỹ, Huyện Bắc Tân Uyên, Tỉnh Bình Dương
Xã Tân Mỹ, Huyện Chiêm Hóa, Tỉnh Tuyên Quang
Xã Tân Mỹ, Huyện Lạc Sơn, Tỉnh Hoà Bình
Xã Tân Mỹ, Huyện Lấp Vò, Tỉnh Đồng Tháp
Xã Tân Mỹ, Huyện Thanh Bình, Tỉnh Đồng Tháp
Xã Tân Mỹ, Huyện Trà Ôn, Tỉnh Vĩnh Long
Xã Tân Mỹ, Huyện Văn Lãng, Tỉnh Lạng Sơn
Xã Tân Mỹ, Huyện Đức Hòa, Tỉnh Long An
Xã Tân Nam, Huyện Quang Bình, Tỉnh Hà Giang
Xã Tân Nghĩa, Huyện Cao Lãnh, Tỉnh Đồng Tháp
Xã Tân Nghĩa, Huyện Di Linh, Tỉnh Lâm Đồng
Xã Tân Nguyên, Huyện Yên Bình, Tỉnh Yên Bái
Xã Tân Nhuận Đông, Huyện Châu Thành, Tỉnh Đồng Tháp
Xã Tân Nhựt, Huyện Bình Chánh, Thành phố Hồ Chí Minh
Xã Tân Ninh, Huyện Quảng Ninh, Tỉnh Quảng Bình
Xã Tân Ninh, Huyện Tân Thạnh, Tỉnh Long An
Xã Tân Pheo, Huyện Đà Bắc, Tỉnh Hoà Bình
Xã Tân Phong, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc
Xã Tân Phong, Huyện Cai Lậy, Tỉnh Tiền Giang
Xã Tân Phong, Huyện Kiến Thuỵ, Thành phố Hải Phòng
Xã Tân Phong, Huyện Ninh Giang, Tỉnh Hải Dương
Xã Tân Phong, Huyện Phù Yên, Tỉnh Sơn La
Xã Tân Phong, Huyện Thạnh Phú, Tỉnh Bến Tre
Xã Tân Phong, Huyện Tân Biên, Tỉnh Tây Ninh
Xã Tân Phong, Huyện Vũ Thư, Tỉnh Thái Bình
Xã Tân Phong, Thị xã Giá Rai, Tỉnh Bạc Liêu
Xã Tân Phú Thạnh, Huyện Châu Thành A, Tỉnh Hậu Giang
Xã Tân Phú Trung, Huyện Châu Thành, Tỉnh Đồng Tháp
Xã Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh
Xã Tân Phú Tây, Huyện Mỏ Cày Bắc, Tỉnh Bến Tre
Xã Tân Phú Đông, Thành phố Sa Đéc, Tỉnh Đồng Tháp
Xã Tân Phú, Huyện Châu Thành, Tỉnh An Giang
Xã Tân Phú, Huyện Châu Thành, Tỉnh Bến Tre
Xã Tân Phú, Huyện Châu Thành, Tỉnh Đồng Tháp
Xã Tân Phú, Huyện Tam Bình, Tỉnh Vĩnh Long
Xã Tân Phú, Huyện Thanh Bình, Tỉnh Đồng Tháp
Xã Tân Phú, Huyện Thới Bình, Tỉnh Cà Mau
Xã Tân Phú, Huyện Tân Châu, Tỉnh Tây Ninh
Xã Tân Phú, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Tân Phú, Huyện Tân Phú Đông, Tỉnh Tiền Giang
Xã Tân Phú, Huyện Vĩnh Tường, Tỉnh Vĩnh Phúc
Xã Tân Phú, Huyện Đức Hòa, Tỉnh Long An
Xã Tân Phú, Thị xã Cai Lậy, Tỉnh Tiền Giang
Xã Tân Phú, Thị xã Long Mỹ, Tỉnh Hậu Giang
Xã Tân Phúc, Huyện Hàm Tân, Tỉnh Bình Thuận
Xã Tân Phúc, Huyện Lang Chánh, Tỉnh Thanh Hóa
Xã Tân Phúc, Huyện Nông Cống, Tỉnh Thanh Hóa
Xã Tân Phương, Huyện Thanh Thuỷ, Tỉnh Phú Thọ
Xã Tân Phước Hưng, Huyện Phụng Hiệp, Tỉnh Hậu Giang
Xã Tân Phước Tây, Huyện Tân Trụ, Tỉnh Long An
Xã Tân Phước, Huyện Gò Công Đông, Tỉnh Tiền Giang
Xã Tân Phước, Huyện Lai Vung, Tỉnh Đồng Tháp
Xã Tân Phước, Huyện Tân Hồng, Tỉnh Đồng Tháp
Xã Tân Phước, Huyện Đồng Phú, Tỉnh Bình Phước
Xã Tân Phước, Thị xã La Gi, Tỉnh Bình Thuận
Xã Tân Phượng, Huyện Lục Yên, Tỉnh Yên Bái
Xã Tân Quan, Huyện Hớn Quản, Tỉnh Bình Phước
Xã Tân Quang, Huyện Bắc Quang, Tỉnh Hà Giang
Xã Tân Quang, Huyện Lục Ngạn, Tỉnh Bắc Giang
Xã Tân Quang, Huyện Ninh Giang, Tỉnh Hải Dương
Xã Tân Quang, Huyện Văn Lâm, Tỉnh Hưng Yên
Xã Tân Quang, Thành phố Sông Công, Tỉnh Thái Nguyên
Xã Tân Quy Tây, Thành phố Sa Đéc, Tỉnh Đồng Tháp
Xã Tân Quý Tây, Huyện Bình Chánh, Thành phố Hồ Chí Minh
Xã Tân Quới Trung, Huyện Vũng Liêm, Tỉnh Vĩnh Long
Xã Tân Quới, Huyện Thanh Bình, Tỉnh Đồng Tháp
Xã Tân Sơn, Huyện Chợ Mới, Tỉnh Bắc Kạn
Xã Tân Sơn, Huyện Lục Ngạn, Tỉnh Bắc Giang
Xã Tân Sơn, Huyện Quỳnh Lưu, Tỉnh Nghệ An
Xã Tân Sơn, Huyện Trà Cú, Tỉnh Trà Vinh
Xã Tân Sơn, Huyện Tân Sơn, Tỉnh Phú Thọ
Xã Tân Sơn, Huyện Đô Lương, Tỉnh Nghệ An
Xã Tân Sỏi, Huyện Yên Thế, Tỉnh Bắc Giang
Xã Tân Thanh Tây, Huyện Mỏ Cày Bắc, Tỉnh Bến Tre
Xã Tân Thanh, Huyện Cái Bè, Tỉnh Tiền Giang
Xã Tân Thanh, Huyện Giồng Trôm, Tỉnh Bến Tre
Xã Tân Thanh, Huyện Lâm Hà, Tỉnh Lâm Đồng
Xã Tân Thanh, Huyện Lạng Giang, Tỉnh Bắc Giang
Xã Tân Thanh, Huyện Sơn Dương, Tỉnh Tuyên Quang
Xã Tân Thanh, Huyện Văn Lãng, Tỉnh Lạng Sơn
Xã Tân Thiềng, Huyện Chợ Lách, Tỉnh Bến Tre
Xã Tân Thuận Bình, Huyện Chợ Gạo, Tỉnh Tiền Giang
Xã Tân Thuận Tây, Thành phố Cao Lãnh, Tỉnh Đồng Tháp
Xã Tân Thuận Đông, Thành phố Cao Lãnh, Tỉnh Đồng Tháp
Xã Tân Thuận, Huyện Hàm Thuận Nam, Tỉnh Bình Thuận
Xã Tân Thuận, Huyện Vĩnh Thuận, Tỉnh Kiên Giang
Xã Tân Thuận, Huyện Đầm Dơi, Tỉnh Cà Mau
Xã Tân Thành A, Huyện Tân Hồng, Tỉnh Đồng Tháp
Xã Tân Thành B, Huyện Tân Hồng, Tỉnh Đồng Tháp
Xã Tân Thành Bình, Huyện Mỏ Cày Bắc, Tỉnh Bến Tre
Xã Tân Thành, Huyện Bình Tân, Tỉnh Vĩnh Long
Xã Tân Thành, Huyện Bù Đốp, Tỉnh Bình Phước
Xã Tân Thành, Huyện Bắc Quang, Tỉnh Hà Giang
Xã Tân Thành, Huyện Bắc Sơn, Tỉnh Lạng Sơn
Xã Tân Thành, Huyện Cao Lộc, Tỉnh Lạng Sơn
Xã Tân Thành, Huyện Gò Công Đông, Tỉnh Tiền Giang
Xã Tân Thành, Huyện Hàm Thuận Nam, Tỉnh Bình Thuận
Xã Tân Thành, Huyện Hàm Yên, Tỉnh Tuyên Quang
Xã Tân Thành, Huyện Hướng Hóa, Tỉnh Quảng Trị
Xã Tân Thành, Huyện Hữu Lũng, Tỉnh Lạng Sơn
Xã Tân Thành, Huyện Kim Sơn, Tỉnh Ninh Bình
Xã Tân Thành, Huyện Krông Nô, Tỉnh Đắk Nông
Xã Tân Thành, Huyện Lai Vung, Tỉnh Đồng Tháp
Xã Tân Thành, Huyện Mai Châu, Tỉnh Hoà Bình
Xã Tân Thành, Huyện Minh Hóa, Tỉnh Quảng Bình
Xã Tân Thành, Huyện Mộc Hóa, Tỉnh Long An
Xã Tân Thành, Huyện Phú Bình, Tỉnh Thái Nguyên
Xã Tân Thành, Huyện Thường Xuân, Tỉnh Thanh Hóa
Xã Tân Thành, Huyện Thủ Thừa, Tỉnh Long An
Xã Tân Thành, Huyện Tân Châu, Tỉnh Tây Ninh
Xã Tân Thành, Huyện Tân Hiệp, Tỉnh Kiên Giang
Xã Tân Thành, Huyện Tân Thạnh, Tỉnh Long An
Xã Tân Thành, Huyện Yên Thành, Tỉnh Nghệ An
Xã Tân Thành, Huyện Đức Trọng, Tỉnh Lâm Đồng
Xã Tân Thành, Thành phố Cà Mau, Tỉnh Cà Mau
Xã Tân Thành, Thành phố Ngã Bảy, Tỉnh Hậu Giang
Xã Tân Thành, Thành phố Đồng Xoài, Tỉnh Bình Phước
Xã Tân Thái, Huyện Đại Từ, Tỉnh Thái Nguyên
Xã Tân Thông Hội, Huyện Củ Chi, Thành phố Hồ Chí Minh
Xã Tân Thượng, Huyện Di Linh, Tỉnh Lâm Đồng
Xã Tân Thượng, Huyện Văn Bàn, Tỉnh Lào Cai
Xã Tân Thạch, Huyện Châu Thành, Tỉnh Bến Tre
Xã Tân Thạnh Tây, Huyện Củ Chi, Thành phố Hồ Chí Minh
Xã Tân Thạnh Đông, Huyện Củ Chi, Thành phố Hồ Chí Minh
Xã Tân Thạnh, Huyện An Minh, Tỉnh Kiên Giang
Xã Tân Thạnh, Huyện Long Phú, Tỉnh Sóc Trăng
Xã Tân Thạnh, Huyện Thanh Bình, Tỉnh Đồng Tháp
Xã Tân Thạnh, Huyện Thới Lai, Thành phố Cần Thơ
Xã Tân Thạnh, Huyện Tân Phú Đông, Tỉnh Tiền Giang
Xã Tân Thạnh, Thị xã Giá Rai, Tỉnh Bạc Liêu
Xã Tân Thạnh, Thị xã Tân Châu, Tỉnh An Giang
Xã Tân Thắng, Huyện Hàm Tân, Tỉnh Bình Thuận
Xã Tân Thắng, Huyện Quỳnh Lưu, Tỉnh Nghệ An
Xã Tân Thịnh, Huyện Chiêm Hóa, Tỉnh Tuyên Quang
Xã Tân Thịnh, Huyện Nam Trực, Tỉnh Nam Định
Xã Tân Thịnh, Huyện Văn Chấn, Tỉnh Yên Bái
Xã Tân Thịnh, Huyện Định Hóa, Tỉnh Thái Nguyên
Xã Tân Thịnh, Thành phố Yên Bái, Tỉnh Yên Bái
Xã Tân Thọ, Huyện Nông Cống, Tỉnh Thanh Hóa
Xã Tân Thới Nhì, Huyện Hóc Môn, Thành phố Hồ Chí Minh
Xã Tân Thới, Huyện Phong Điền, Thành phố Cần Thơ
Xã Tân Thới, Huyện Tân Phú Đông, Tỉnh Tiền Giang
Xã Tân Thủy, Huyện Ba Tri, Tỉnh Bến Tre
Xã Tân Thủy, Huyện Lệ Thủy, Tỉnh Quảng Bình
Xã Tân Tiến, Huyện Bù Đốp, Tỉnh Bình Phước
Xã Tân Tiến, Huyện Bảo Yên, Tỉnh Lào Cai
Xã Tân Tiến, Huyện Chương Mỹ, Thành phố Hà Nội
Xã Tân Tiến, Huyện Hoàng Su Phì, Tỉnh Hà Giang
Xã Tân Tiến, Huyện Hưng Hà, Tỉnh Thái Bình
Xã Tân Tiến, Huyện Krông Pắc, Tỉnh Đắk Lắk
Xã Tân Tiến, Huyện Tràng Định, Tỉnh Lạng Sơn
Xã Tân Tiến, Huyện Văn Giang, Tỉnh Hưng Yên
Xã Tân Tiến, Huyện Yên Sơn, Tỉnh Tuyên Quang
Xã Tân Tiến, Huyện Đầm Dơi, Tỉnh Cà Mau
Xã Tân Tiến, Huyện Đồng Phú, Tỉnh Bình Phước
Xã Tân Tiến, Thành phố Vị Thanh, Tỉnh Hậu Giang
Xã Tân Tiến, Thị xã La Gi, Tỉnh Bình Thuận
Xã Tân Tri, Huyện Bắc Sơn, Tỉnh Lạng Sơn
Xã Tân Triều, Huyện Thanh Trì, Thành phố Hà Nội
Xã Tân Trung, Huyện Mỏ Cày Nam, Tỉnh Bến Tre
Xã Tân Trung, Huyện Phú Tân, Tỉnh An Giang
Xã Tân Trung, Huyện Tân Yên, Tỉnh Bắc Giang
Xã Tân Trung, Huyện Đầm Dơi, Tỉnh Cà Mau
Xã Tân Trung, Thành phố Gò Công, Tỉnh Tiền Giang
Xã Tân Trào, Huyện Kiến Thuỵ, Thành phố Hải Phòng
Xã Tân Trào, Huyện Sơn Dương, Tỉnh Tuyên Quang
Xã Tân Trào, Huyện Thanh Miện, Tỉnh Hải Dương
Xã Tân Trường, Huyện Cẩm Giàng, Tỉnh Hải Dương
Xã Tân Trường, Thị xã Nghi Sơn, Tỉnh Thanh Hóa
Xã Tân Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình
Xã Tân Trạch, Huyện Cần Đước, Tỉnh Long An
Xã Tân Trịnh, Huyện Quang Bình, Tỉnh Hà Giang
Xã Tân Tuyến, Huyện Tri Tôn, Tỉnh An Giang
Xã Tân Tác, Huyện Văn Lãng, Tỉnh Lạng Sơn
Xã Tân Tây, Huyện Gò Công Đông, Tỉnh Tiền Giang
Xã Tân Tây, Huyện Thạnh Hóa, Tỉnh Long An
Xã Tân Tú, Huyện Bạch Thông, Tỉnh Bắc Kạn
Xã Tân Tập, Huyện Cần Giuộc, Tỉnh Long An
Xã Tân Vinh, Huyện Lương Sơn, Tỉnh Hoà Bình
Xã Tân Viên, Huyện An Lão, Thành phố Hải Phòng
Xã Tân Việt, Huyện Bình Giang, Tỉnh Hải Dương
Xã Tân Việt, Huyện Thanh Hà, Tỉnh Hải Dương
Xã Tân Văn, Huyện Bình Gia, Tỉnh Lạng Sơn
Xã Tân Văn, Huyện Lâm Hà, Tỉnh Lâm Đồng
Xã Tân Xuân, Huyện Ba Tri, Tỉnh Bến Tre
Xã Tân Xuân, Huyện Hàm Tân, Tỉnh Bình Thuận
Xã Tân Xuân, Huyện Hóc Môn, Thành phố Hồ Chí Minh
Xã Tân Xuân, Huyện Tân Kỳ, Tỉnh Nghệ An
Xã Tân Xuân, Huyện Vân Hồ, Tỉnh Sơn La
Xã Tân Xã, Huyện Thạch Thất, Thành phố Hà Nội
Xã Tân Yên, Huyện Tràng Định, Tỉnh Lạng Sơn
Xã Tân Ân Tây, Huyện Ngọc Hiển, Tỉnh Cà Mau
Xã Tân Ân, Huyện Cần Đước, Tỉnh Long An
Xã Tân Ân, Huyện Ngọc Hiển, Tỉnh Cà Mau
Xã Tân Điền, Huyện Gò Công Đông, Tỉnh Tiền Giang
Xã Tân Đoàn, Huyện Văn Quan, Tỉnh Lạng Sơn
Xã Tân Đông, Huyện Gò Công Đông, Tỉnh Tiền Giang
Xã Tân Đông, Huyện Thạnh Hóa, Tỉnh Long An
Xã Tân Đông, Huyện Tân Châu, Tỉnh Tây Ninh
Xã Tân Định, Huyện Bắc Tân Uyên, Tỉnh Bình Dương
Xã Tân Đồng, Huyện Trấn Yên, Tỉnh Yên Bái
Xã Tân Đức, Huyện Hàm Tân, Tỉnh Bình Thuận
Xã Tân Đức, Huyện Phú Bình, Tỉnh Thái Nguyên
Xã Tân Đức, Huyện Đầm Dơi, Tỉnh Cà Mau
Xã Tân Ước, Huyện Thanh Oai, Thành phố Hà Nội
Xã Tây An, Huyện Tây Sơn, Tỉnh Bình Định
Xã Tây Bình, Huyện Tây Sơn, Tỉnh Bình Định
Xã Tây Cốc, Huyện Đoan Hùng, Tỉnh Phú Thọ
Xã Tây Giang, Huyện Tiền Hải, Tỉnh Thái Bình
Xã Tây Giang, Huyện Tây Sơn, Tỉnh Bình Định
Xã Tây Hiếu, Thị xã Thái Hoà, Tỉnh Nghệ An
Xã Tây Hoà, Huyện Trảng Bom, Tỉnh Đồng Nai
Xã Tây Hưng, Huyện Tiên Lãng, Thành phố Hải Phòng
Xã Tây Hồ, Huyện Thọ Xuân, Tỉnh Thanh Hóa
Xã Tây Lương, Huyện Tiền Hải, Tỉnh Thái Bình
Xã Tây Ninh, Huyện Tiền Hải, Tỉnh Thái Bình
Xã Tây Phong, Huyện Cao Phong, Tỉnh Hoà Bình
Xã Tây Phú, Huyện Thoại Sơn, Tỉnh An Giang
Xã Tây Phú, Huyện Tây Sơn, Tỉnh Bình Định
Xã Tây Sơn, Huyện Kiến Xương, Tỉnh Thái Bình
Xã Tây Sơn, Huyện Kỳ Sơn, Tỉnh Nghệ An
Xã Tây Sơn, Huyện Lập Thạch, Tỉnh Vĩnh Phúc
Xã Tây Thuận, Huyện Tây Sơn, Tỉnh Bình Định
Xã Tây Thành, Huyện Yên Thành, Tỉnh Nghệ An
Xã Tây Trạch, Huyện Bố Trạch, Tỉnh Quảng Bình
Xã Tây Vinh, Huyện Tây Sơn, Tỉnh Bình Định
Xã Tây Xuân, Huyện Tây Sơn, Tỉnh Bình Định
Xã Tây Yên A, Huyện An Biên, Tỉnh Kiên Giang
Xã Tây Yên, Huyện An Biên, Tỉnh Kiên Giang
Xã Tây Đô, Huyện Hưng Hà, Tỉnh Thái Bình
Xã Tê Xăng, Huyện Tu Mơ Rông, Tỉnh Kon Tum
Xã Tênh Phông, Huyện Tuần Giáo, Tỉnh Điện Biên
Xã Tìa Dình, Huyện Điện Biên Đông, Tỉnh Điện Biên
Xã Tích Lộc, Huyện Phúc Thọ, Thành phố Hà Nội
Xã Tích Thiện, Huyện Trà Ôn, Tỉnh Vĩnh Long
Xã Tòng Bạt, Huyện Ba Vì, Thành phố Hà Nội
Xã Tòng Sành, Huyện Bát Xát, Tỉnh Lào Cai
Xã Tòng Đậu, Huyện Mai Châu, Tỉnh Hoà Bình
Xã Tóc Tiên, Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu
Xã Tô Hiệu, Huyện Thường Tín, Thành phố Hà Nội
Xã Tô Múa, Huyện Vân Hồ, Tỉnh Sơn La
Xã Tô Mậu, Huyện Lục Yên, Tỉnh Yên Bái
Xã Tông Cọ, Huyện Thuận Châu, Tỉnh Sơn La
Xã Tông Lạnh, Huyện Thuận Châu, Tỉnh Sơn La
Xã Tông Qua Lìn, Huyện Phong Thổ, Tỉnh Lai Châu
Xã Tùng Bá, Huyện Vị Xuyên, Tỉnh Hà Giang
Xã Tùng Châu, Huyện Đức Thọ, Tỉnh Hà Tĩnh
Xã Tùng Khê, Huyện Cẩm Khê, Tỉnh Phú Thọ
Xã Tùng Lâm, Thị xã Nghi Sơn, Tỉnh Thanh Hóa
Xã Tùng Lộc, Huyện Can Lộc, Tỉnh Hà Tĩnh
Xã Tùng Vài, Huyện Quản Bạ, Tỉnh Hà Giang
Xã Tùng Ảnh, Huyện Đức Thọ, Tỉnh Hà Tĩnh
Xã Tú An, Thị xã An Khê, Tỉnh Gia Lai
Xã Tú Lý, Huyện Đà Bắc, Tỉnh Hoà Bình
Xã Tú Lệ, Huyện Văn Chấn, Tỉnh Yên Bái
Xã Tú Mịch, Huyện Lộc Bình, Tỉnh Lạng Sơn
Xã Tú Nang, Huyện Yên Châu, Tỉnh Sơn La
Xã Tú Sơn, Huyện Kim Bôi, Tỉnh Hoà Bình
Xã Tú Sơn, Huyện Kiến Thuỵ, Thành phố Hải Phòng
Xã Tú Thịnh, Huyện Sơn Dương, Tỉnh Tuyên Quang
Xã Tú Xuyên, Huyện Văn Quan, Tỉnh Lạng Sơn
Xã Tú Đoạn, Huyện Lộc Bình, Tỉnh Lạng Sơn
Xã Túc Trưng, Huyện Định Quán, Tỉnh Đồng Nai
Xã Túc Đán, Huyện Trạm Tấu, Tỉnh Yên Bái
Xã Túng Sán, Huyện Hoàng Su Phì, Tỉnh Hà Giang
Xã Tăng Hoà, Huyện Gò Công Đông, Tỉnh Tiền Giang
Xã Tăng Thành, Huyện Yên Thành, Tỉnh Nghệ An
